Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776672194,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776672195,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672196,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672197,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672198,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672199,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672200,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672201,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672202,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672203,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672204,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672205,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672206,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672207,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672208,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672209,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
1776672210,200,,Aggregated,0.000000,0.000000,420,460,470,490,520,520,530,540,550,550,550,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0
