Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,login,50,0,31,67.05907800060231,19.637499994132668,220.7368000090355,500.0,0.5579045319963977,0.0,31,38,59,210,210,210,220,220,220,220,220
POST,ticket_purchase_v2,145,145,30000,28508.828562068662,18260.072700009914,56762.12189999933,94.72413793103448,1.617923142789553,1.617923142789553,30000,30000,36000,36000,37000,39000,49000,49000,57000,57000,57000
,Aggregated,195,145,20000,21216.067155897363,19.637499994132668,56762.12189999933,198.64102564102564,2.1758276747859506,1.617923142789553,20000,30000,34000,35000,37000,38000,47000,49000,57000,57000,57000
