Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,login,200,0,31,31.742952999848058,19.609299997682683,51.94699999992736,500.0,3.370078250092294,0.0,31,34,36,37,40,45,49,50,52,52,52
POST,ticket_purchase_v2,1866,1866,3013.5369999916293,3456.914167845611,3013.5369999916293,58294.731000001775,94.0,31.4428300733611,31.4428300733611,3000,3000,3000,3000,3100,3900,5200,5500,57000,58000,58000
,Aggregated,2066,1866,3000,3125.3390260405995,19.609299997682683,58294.731000001775,133.30300096805422,34.81290832345339,31.4428300733611,3000,3000,3000,3000,3100,3500,5100,5500,52000,58000,58000
