Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,login,200,0,34,47.66034199994465,19.01059999363497,251.12479999370407,500.0,3.37462808213354,0.0,34,40,47,52,130,140,200,230,250,250,250
POST,ticket_cancel,9,1,270,5905.2501888881025,267.5556000031065,50969.30879999127,73.55555555555556,0.1518582636960093,0.0168731404106677,270,270,280,280,51000,51000,51000,51000,51000,51000,51000
POST,ticket_purchase_v2,9750,9741,71,339.609825917949,9.829999995417893,53219.8267000058,99.72389743589744,164.5131190040101,164.36126074031407,71,76,79,82,92,3000,3000,3000,3100,53000,53000
GET,ticket_query,9838,0,170,164.27742651963922,14.771100002690218,499.4539000035729,2296.998068713153,165.99795536014884,0.0,170,180,190,190,200,210,240,310,490,500,500
,Aggregated,19797,9742,92,252.06023361621644,9.829999995417893,53219.8267000058,1195.6779815123502,334.0375607099885,164.37813388072473,92,160,180,180,200,230,3000,3000,3100,53000,53000
