Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,login,1,0,156.1093000054825,156.1093000054825,156.1093000054825,156.1093000054825,500.0,0.017543990490457653,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,ticket_cancel,7,0,25,25.6080571478898,19.52020000317134,34.040500002447516,71.0,0.12280793343320358,0.0,25,27,29,29,34,34,34,34,34,34,34
POST,ticket_purchase_v2,26,19,230,217.87543461519257,127.97519999730866,284.0598000038881,158.07692307692307,0.456143752751899,0.33333581931869544,230,240,240,240,270,270,280,280,280,280,280
GET,ticket_query,26,0,25,26.121669231193103,20.149499992839992,49.464900002931245,2296.0,0.456143752751899,0.0,26,26,26,26,30,35,49,49,49,49,49
,Aggregated,60,19,30,111.32150666744565,19.52020000317134,284.0598000038881,1080.05,1.0526394294274593,0.33333581931869544,34,210,230,230,240,270,270,280,280,280,280
