Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,login,200,0,420,370.1942364993738,52.9639999876963,549.3870000063907,500.0,3.92518707076262,0.0,420,460,470,490,520,520,530,540,550,550,550
POST,ticket_purchase_v2,396,396,20000,20430.77937298016,10399.584600003436,50847.71699999692,94.0530303030303,7.771870400109987,7.771870400109987,20000,20000,20000,20000,20000,20000,20000,51000,51000,51000,51000
,Aggregated,596,396,20000,13699.039394295334,52.9639999876963,50847.71699999692,230.2768456375839,11.697057470872608,7.771870400109987,20000,20000,20000,20000,20000,20000,20000,20000,51000,51000,51000
